"#vm","ram","time","cost"
3,0.2,2260961,6782883
3,0.2,2600185,7800555
3,0.2,2540812,7622436
3,0.2,2564771,7694313
3,0.2,2287926,6863778
3,0.2,2548205,7644615
3,0.2,2552935,7658805
3,0.2,2629937,7889811
3,0.2,2477274,7431822
3,0.2,2288499,6865497
4,0.2,2003846,8015384
4,0.2,2064675,8258700
4,0.2,1925036,7700144
4,0.2,2036057,8144228
4,0.2,1938723,7754892
4,0.2,2184368,8737472
4,0.2,1908782,7635128
4,0.2,2046586,8186344
4,0.2,1919926,7679704
4,0.2,2113125,8452500
5,0.2,1887321,9436605
5,0.2,1756290,8781450
5,0.2,1572669,7863345
5,0.2,1843188,9215940
5,0.2,1759421,8797105
5,0.2,1920129,9600645
5,0.2,1818395,9091975
5,0.2,1467214,7336070
5,0.2,1540318,7701590
5,0.2,1941143,9705715
5,0.2,1743659,8718295
5,0.2,1898404,9492020
5,0.2,1487740,7438700
5,0.2,1557110,7785550
5,0.2,1584349,7921745
6,0.2,1578539,9471234
6,0.2,1586444,9518664
6,0.2,1696050,10176300
6,0.2,1669472,10016832
6,0.2,1630605,9783630
7,0.2,1468109,10276763
7,0.2,1360464,9523248
7,0.2,1362808,9539656
7,0.2,1360008,9520056
7,0.2,1395630,9769410
7,0.2,1358401,9508807
7,0.2,1380325,9662275
7,0.2,1394206,9759442
7,0.2,1420060,9940420
7,0.2,1315140,9205980
7,0.2,1375187,9626309
7,0.2,1406403,9844821
7,0.2,1381032,9667224
7,0.2,1344117,9408819
7,0.2,1431851,10022957
7,0.2,1363919,9547433
7,0.2,1355526,9488682
7,0.2,1384157,9689099
7,0.2,1352110,9464770
7,0.2,1333099,9331693
7,0.2,1453460,10174220
7,0.2,1416237,9913659
7,0.2,1352409,9466863
8,0.2,1218900,9751200
8,0.2,1209044,9672352
9,0.2,1137499,10237491
9,0.2,1180408,10623672
9,0.2,1151008,10359072
9,0.2,1122849,10105641
9,0.2,1043461,9391149
9,0.2,1161136,10450224
9,0.2,956559,8609031
9,0.2,1127014,10143126
9,0.2,1146396,10317564
9,0.2,1065225,9587025
9,0.2,925163,8326467
9,0.2,975415,8778735
9,0.2,1091003,9819027
9,0.2,948917,8540253
9,0.2,1128978,10160802
9,0.2,1046462,9418158
9,0.2,1148476,10336284
9,0.2,924719,8322471
9,0.2,1038639,9347751
10,0.2,1025435,10254350
10,0.2,1080234,10802340
10,0.2,1040458,10404580
10,0.2,1077539,10775390
10,0.2,1021590,10215900
10,0.2,991594,9915940
10,0.2,1039596,10395960
10,0.2,1012606,10126060
11,0.2,981689,10798579
11,0.2,949093,10440023
11,0.2,560566,6166226
11,0.2,893358,9826938
11,0.2,883577,9719347
11,0.2,950104,10451144
11,0.2,946586,10412446
11,0.2,887773,9765503
11,0.2,921104,10132144
11,0.2,965958,10625538
11,0.2,911616,10027776
11,0.2,924045,10164495
11,0.2,934360,10277960
11,0.2,991204,10903244
11,0.2,890467,9795137
11,0.2,888218,9770398
11,0.2,988848,10877328
11,0.2,967553,10643083
11,0.2,982098,10803078
11,0.2,971266,10683926
11,0.2,917062,10087682
11,0.2,927120,10198320
11,0.2,925033,10175363
12,0.2,864259,10371108
12,0.2,837746,10052952
12,0.2,839849,10078188
12,0.2,852377,10228524
12,0.2,858478,10301736
13,0.2,646071,8398923
13,0.2,592691,7704983
13,0.2,773885,10060505
13,0.2,593511,7715643
13,0.2,765210,9947730
13,0.2,575412,7480356
13,0.2,609461,7922993
13,0.2,626764,8147932
13,0.2,580971,7552623
13,0.2,789771,10267023
13,0.2,754996,9814948
13,0.2,652595,8483735
13,0.2,581010,7553130
13,0.2,759564,9874332
13,0.2,588690,7652970
13,0.2,609406,7922278
13,0.2,596363,7752719
13,0.2,755650,9823450
13,0.2,587698,7640074
13,0.2,642698,8355074
13,0.2,743904,9670752
13,0.2,772596,10043748
13,0.2,598184,7776392
13,0.2,591316,7687108
13,0.2,611305,7946965
13,0.2,601201,7815613
13,0.2,576839,7498907
13,0.2,777790,10111270
13,0.2,594423,7727499
13,0.2,770296,10013848
15,0.2,514584,7718760
15,0.2,599992,8999880
15,0.2,513353,7700295
15,0.2,594570,8918550
15,0.2,664977,9974655
15,0.2,562581,8438715
15,0.2,529027,7935405
15,0.2,639221,9588315
15,0.2,625084,9376260
15,0.2,654390,9815850
15,0.2,440555,6608325
15,0.2,667953,10019295
15,0.2,509936,7649040
15,0.2,635601,9534015
15,0.2,653181,9797715
15,0.2,625911,9388665
15,0.2,603780,9056700
15,0.2,525864,7887960
15,0.2,595500,8932500
15,0.2,536608,8049120
15,0.2,599132,8986980
15,0.2,606656,9099840
15,0.2,598860,8982900
16,0.2,563825,9021200
16,0.2,567332,9077312
17,0.2,582951,9910167
17,0.2,564344,9593848
17,0.2,552083,9385411
17,0.2,555216,9438672
17,0.2,551991,9383847
17,0.2,535854,9109518
17,0.2,554929,9433793
17,0.2,567178,9642026
17,0.2,561388,9543596
17,0.2,591244,10051148
17,0.2,562620,9564540
17,0.2,588189,9999213
17,0.2,552271,9388607
17,0.2,555355,9441035
17,0.2,583786,9924362
17,0.2,590026,10030442
17,0.2,552855,9398535
17,0.2,559648,9514016
17,0.2,577638,9819846
17,0.2,562365,9560205
17,0.2,561334,9542678
17,0.2,583120,9913040
17,0.2,553064,9402088
17,0.2,551714,9379138
17,0.2,545841,9279297
17,0.2,568077,9657309
17,0.2,570311,9695287
17,0.2,574374,9764358
17,0.2,535814,9108838
17,0.2,576544,9801248
17,0.2,546467,9289939
17,0.2,552313,9389321
17,0.2,552209,9387553
17,0.2,553866,9415722
17,0.2,542844,9228348
17,0.2,525174,8927958
17,0.2,578305,9831185
17,0.2,558215,9489655
18,0.2,523081,9415458
18,0.2,499228,8986104
19,0.2,490103,9311957
19,0.2,459768,8735592
19,0.2,480567,9130773
19,0.2,482909,9175271
19,0.2,494608,9397552
19,0.2,504637,9588103
19,0.2,486011,9234209
19,0.2,494761,9400459
19,0.2,470242,8934598
19,0.2,484239,9200541
19,0.2,484625,9207875
19,0.2,498668,9474692
19,0.2,490890,9326910
19,0.2,492281,9353339
19,0.2,478754,9096326
19,0.2,475052,9025988
19,0.2,490095,9311805
19,0.2,478172,9085268
19,0.2,468835,8907865
19,0.2,477519,9072861
19,0.2,480646,9132274
19,0.2,494457,9394683
19,0.2,476285,9049415
19,0.2,476257,9048883
19,0.2,471703,8962357
19,0.2,473223,8991237
19,0.2,480673,9132787
19,0.2,465673,8847787
20,0.2,460495,9209900
20,0.2,471440,9428800
20,0.2,489470,9789400
20,0.2,453883,9077660
20,0.2,452098,9041960
20,0.2,469753,9395060
21,0.2,435149,9138129
21,0.2,430866,9048186
21,0.2,409939,8608719
21,0.2,438608,9210768
21,0.2,444727,9339267
21,0.2,435993,9155853
21,0.2,435879,9153459
21,0.2,407120,8549520
21,0.2,418816,8795136
21,0.2,405108,8507268
21,0.2,411678,8645238
21,0.2,444264,9329544
21,0.2,438787,9214527
21,0.2,435432,9144072
21,0.2,397103,8339163
21,0.2,455868,9573228
21,0.2,440127,9242667
21,0.2,442163,9285423
21,0.2,415770,8731170
21,0.2,417732,8772372
21,0.2,456688,9590448
21,0.2,403494,8473374
21,0.2,395807,8311947
21,0.2,422871,8880291
21,0.2,429508,9019668
21,0.2,421347,8848287
21,0.2,415418,8723778
21,0.2,426469,8955849
21,0.2,419213,8803473
21,0.2,419674,8813154
21,0.2,441374,9268854
21,0.2,390238,8194998
22,0.2,379789,8355358
22,0.2,406970,8953340
22,0.2,422163,9287586
22,0.2,397999,8755978
22,0.2,429779,9455138
22,0.2,425508,9361176
22,0.2,398515,8767330
22,0.2,388771,8552962
23,0.2,410464,9440672
23,0.2,423038,9729874
23,0.2,356505,8199615
23,0.2,391823,9011929
23,0.2,388797,8942331
23,0.2,354234,8147382
23,0.2,382997,8808931
23,0.2,369321,8494383
23,0.2,375276,8631348
23,0.2,353873,8139079
23,0.2,375423,8634729
23,0.2,364129,8374967
23,0.2,384992,8854816
23,0.2,395194,9089462
23,0.2,411668,9468364
23,0.2,365944,8416712
23,0.2,350337,8057751
23,0.2,346441,7968143
23,0.2,423708,9745284
23,0.2,475036,10925828
23,0.2,367081,8442863
23,0.2,366098,8420254
23,0.2,372495,8567385
23,0.2,366870,8438010
23,0.2,406327,9345521
24,0.2,346343,8312232
24,0.2,342109,8210616
24,0.2,412823,9907752
24,0.2,354511,8508264
24,0.2,407886,9789264
24,0.2,344690,8272560
24,0.2,401569,9637656
24,0.2,348219,8357256
24,0.2,353162,8475888
24,0.2,358448,8602752
24,0.2,376317,9031608
24,0.2,358738,8609712
24,0.2,407201,9772824
24,0.2,353734,8489616
24,0.2,340506,8172144
3,0.9,1312599,3937797
3,0.9,1321261,3963783
3,0.9,1281390,3844170
3,0.9,833895,2501685
3,0.9,793077,2379231
3,0.9,830448,2491344
3,0.9,751603,2254809
3,0.9,1320902,3962706
3,0.9,734372,2203116
3,0.9,1271966,3815898
4,0.9,548900,2195600
4,0.9,757110,3028440
4,0.9,531194,2124776
4,0.9,590688,2362752
4,0.9,576100,2304400
4,0.9,948591,3794364
4,0.9,519374,2077496
4,0.9,783100,3132400
4,0.9,563768,2255072
4,0.9,789005,3156020
5,0.9,502930,2514650
5,0.9,538343,2691715
5,0.9,417099,2085495
5,0.9,523339,2616695
5,0.9,414544,2072720
5,0.9,411644,2058220
5,0.9,412341,2061705
5,0.9,414576,2072880
5,0.9,436229,2181145
5,0.9,414354,2071770
6,0.9,434505,2607030
6,0.9,391796,2350776
6,0.9,355310,2131860
6,0.9,372498,2234988
6,0.9,364466,2186796
6,0.9,367755,2206530
6,0.9,371748,2230488
6,0.9,371515,2229090
6,0.9,374017,2244102
6,0.9,363163,2178978
6,0.7,658681,3952086
6,0.7,646347,3878082
6,0.7,651426,3908556
6,0.7,640042,3840252
6,0.7,648071,3888426
6,0.7,642447,3854682
6,0.7,629994,3779964
6,0.7,719277,4315662
6,0.7,667241,4003446
6,0.7,656520,3939120
6,0.7,728300,4369800
6,0.7,613713,3682278
6,0.7,642938,3857628
6,0.7,652262,3913572
6,0.7,645277,3871662
6,0.7,655935,3935610
6,0.7,651435,3908610
6,0.7,719965,4319790
6,0.7,637550,3825300
6,0.7,628850,3773100
6,0.7,639208,3835248
6,0.7,649140,3894840
6,0.7,720577,4323462
6,0.7,654208,3925248
6,0.7,634291,3805746
6,0.7,647289,3883734
6,0.7,621963,3731778
6,0.7,642811,3856866
6,0.7,727103,4362618
6,0.7,704630,4227780
6,0.7,719795,4318770
6,0.7,653301,3919806
6,0.7,654745,3928470
6,0.7,655053,3930318
6,0.7,652112,3912672
6,0.7,615530,3693180
6,0.7,628018,3768108
6,0.7,644493,3866958
6,0.7,642161,3852966
6,0.7,727765,4366590
6,0.7,718237,4309422
8,0.7,545156,4361248
8,0.7,596925,4775400
8,0.7,504124,4032992
8,0.7,600136,4801088
8,0.7,532062,4256496
8,0.7,597302,4778416
8,0.7,516138,4129104
8,0.7,610731,4885848
8,0.7,498990,3991920
8,0.7,515449,4123592
8,0.7,523336,4186688
8,0.7,542810,4342480
8,0.7,581723,4653784
8,0.7,606944,4855552
8,0.7,483864,3870912
8,0.7,609924,4879392
8,0.7,503396,4027168
8,0.7,531028,4248224
8,0.7,594866,4758928
8,0.7,500474,4003792
8,0.7,518364,4146912
8,0.7,622982,4983856
10,0.7,382198,3821980
10,0.7,404256,4042560
10,0.7,526179,5261790
10,0.7,438070,4380700
10,0.7,393465,3934650
10,0.7,387620,3876200
10,0.7,392560,3925600
10,0.7,451591,4515910
10,0.7,446584,4465840
10,0.7,507001,5070010
10,0.7,507529,5075290
10,0.7,396098,3960980
10,0.7,437160,4371600
10,0.7,380696,3806960
10,0.7,453074,4530740
10,0.7,503884,5038840
10,0.7,405046,4050460
10,0.7,512921,5129210
10,0.7,506249,5062490
10,0.7,396781,3967810
10,0.7,445971,4459710
10,0.7,501375,5013750
10,0.7,510875,5108750
10,0.7,522095,5220950
10,0.7,437212,4372120
10,0.7,440808,4408080
10,0.7,395725,3957250
10,0.7,503206,5032060
10,0.7,403098,4030980
10,0.7,441725,4417250
10,0.7,440058,4400580
10,0.7,495656,4956560
10,0.7,435492,4354920
10,0.7,495760,4957600
10,0.7,535928,5359280
10,0.7,511371,5113710
10,0.7,405084,4050840
10,0.7,524489,5244890
10,0.7,445840,4458400
10,0.7,384429,3844290
10,0.7,511043,5110430
12,0.7,456541,5478492
12,0.7,333961,4007532
12,0.7,444952,5339424
12,0.7,336914,4042968
12,0.7,449619,5395428
12,0.7,334486,4013832
12,0.7,446756,5361072
12,0.7,447389,5368668
12,0.7,459492,5513904
12,0.7,334737,4016844
12,0.7,339665,4075980
12,0.7,332763,3993156
12,0.7,446847,5362164
12,0.7,384721,4616652
12,0.7,334532,4014384
12,0.7,442356,5308272
12,0.7,387119,4645428
12,0.7,339355,4072260
12,0.7,335605,4027260
12,0.7,333964,4007568
12,0.7,376646,4519752
14,0.7,291608,4082512
14,0.7,293578,4110092
14,0.7,287248,4021472
14,0.7,291546,4081644
14,0.7,422765,5918710
14,0.7,400016,5600224
14,0.7,392449,5494286
14,0.7,288265,4035710
14,0.7,389851,5457914
14,0.7,411013,5754182
14,0.7,396669,5553366
14,0.7,386964,5417496
14,0.7,370741,5190374
14,0.7,405857,5681998
14,0.7,341239,4777346
14,0.7,395211,5532954
14,0.7,287501,4025014
14,0.7,397870,5570180
14,0.7,289624,4054736
14,0.7,408572,5720008
14,0.7,289254,4049556
16,0.7,251737,4027792
16,0.7,246205,3939280
16,0.7,254468,4071488
16,0.7,378718,6059488
16,0.7,338507,5416112
16,0.7,336567,5385072
16,0.7,257547,4120752
16,0.7,358448,5735168
16,0.7,376262,6020192
16,0.7,359086,5745376
16,0.7,354366,5669856
16,0.7,368763,5900208
16,0.7,254789,4076624
16,0.7,347323,5557168
16,0.7,257890,4126240
16,0.7,251660,4026560
16,0.7,251215,4019440
16,0.7,251660,4026560
16,0.7,258014,4128224
16,0.7,255604,4089664
16,0.7,250726,4011616
16,0.7,372012,5952192
16,0.7,361836,5789376
16,0.7,246385,3942160
16,0.7,301306,4820896
16,0.7,364148,5826368
18,0.7,322952,5813136
18,0.7,332284,5981112
18,0.7,227272,4090896
18,0.7,227106,4087908
18,0.7,233312,4199616
18,0.7,224236,4036248
18,0.7,226820,4082760
18,0.7,233891,4210038
18,0.7,346872,6243696
18,0.7,225226,4054068
18,0.7,229074,4123332
18,0.7,226444,4075992
18,0.7,236902,4264236
18,0.7,223451,4022118
18,0.7,237043,4266774
18,0.7,229544,4131792
18,0.7,224625,4043250
18,0.7,226407,4075326
18,0.7,229736,4135248
18,0.7,230697,4152546
18,0.7,234608,4222944
20,0.7,206609,4132180
20,0.7,208766,4175320
20,0.7,208509,4170180
20,0.7,208762,4175240
20,0.7,321224,6424480
20,0.7,206918,4138360
20,0.7,206187,4123740
20,0.7,209936,4198720
20,0.7,210941,4218820
20,0.7,208056,4161120
20,0.7,208380,4167600
20,0.7,211665,4233300
20,0.7,213596,4271920
20,0.7,208131,4162620
20,0.7,218013,4360260
20,0.7,209690,4193800
20,0.7,314396,6287920
20,0.7,208062,4161240
20,0.7,208781,4175620
20,0.7,326833,6536660
20,0.7,211710,4234200
22,0.7,188293,4142446
22,0.7,190740,4196280
22,0.7,187457,4124054
22,0.7,186434,4101548
22,0.7,191335,4209370
22,0.7,188267,4141874
22,0.7,304369,6696118
22,0.7,187908,4133976
22,0.7,188147,4139234
22,0.7,188319,4143018
22,0.7,187801,4131622
22,0.7,188799,4153578
22,0.7,189463,4168186
22,0.7,189164,4161608
22,0.7,185439,4079658
22,0.7,189189,4162158
22,0.7,188272,4141984
22,0.7,289298,6364556
22,0.7,191272,4207984
22,0.7,190150,4183300
22,0.7,188177,4139894
24,0.7,184900,4437600
24,0.7,183689,4408536
24,0.7,188158,4515792
24,0.7,189267,4542408
24,0.7,186106,4466544
24,0.7,184032,4416768
24,0.7,187520,4500480
24,0.7,186122,4466928
24,0.7,188258,4518192
24,0.7,185576,4453824
24,0.7,186298,4471152
24,0.7,185309,4447416
24,0.7,188543,4525032
24,0.7,188305,4519320
24,0.7,187689,4504536
24,0.7,186833,4483992
24,0.7,188936,4534464
24,0.7,187942,4510608
24,0.7,185614,4454736
24,0.7,183136,4395264
24,0.7,187600,4502400
26,0.7,170256,4426656
26,0.7,171923,4469998
26,0.7,171813,4467138
26,0.7,171015,4446390
26,0.7,169667,4411342
26,0.7,171734,4465084
26,0.7,169557,4408482
26,0.7,171303,4453878
26,0.7,173807,4518982
26,0.7,171096,4448496
26,0.7,170712,4438512
26,0.7,172057,4473482
26,0.7,170967,4445142
26,0.7,171856,4468256
26,0.7,169440,4405440
26,0.7,168503,4381078
26,0.7,169883,4416958
26,0.7,168488,4380688
26,0.7,169125,4397250
26,0.7,170083,4422158
26,0.7,167550,4356300
3,4,399365,1198095
3,4,402082,1206246
3,4,400467,1201401
3,4,404827,1214481
3,4,444773,1334319
3,4,402063,1206189
3,4,401534,1204602
3,4,400505,1201515
3,4,452660,1357980
3,4,397131,1191393
4,4,311751,1247004
4,4,318035,1272140
4,4,308052,1232208
4,4,307004,1228016
4,4,308639,1234556
4,4,311770,1247080
4,4,305978,1223912
4,4,308291,1233164
4,4,306145,1224580
4,4,308116,1232464
5,4,254429,1272145
5,4,258887,1294435
5,4,259248,1296240
5,4,261639,1308195
5,4,260566,1302830
5,4,266123,1330615
5,4,262726,1313630
5,4,260083,1300415
5,4,253949,1269745
5,4,263159,1315795
6,4,234968,1409808
6,4,235324,1411944
6,4,236943,1421658
6,4,269195,1615170
6,4,235027,1410162
6,4,242787,1456722
6,4,265045,1590270
6,4,226581,1359486
6,4,235397,1412382
6,4,233636,1401816
3,9,230612,691836
3,9,237641,712923
3,9,252501,757503
3,9,237288,711864
3,9,238829,716487
3,9,238151,714453
3,9,231081,693243
3,9,227894,683682
3,9,238088,714264
3,9,235947,707841
